t,s_pm2.5,s_pm10,b_pm2.5,b_pm10
"2019-08-06-11-0",5.9,7.3,10,10
"2019-08-06-11-1",7.2,11.2,9,9
"2019-08-06-11-2",5.5,6.9,8,8
"2019-08-06-11-3",6.0,7.4,11,11
"2019-08-06-11-4",5.8,8.8,8,10
"2019-08-06-11-5",5.7,6.7,9,10
"2019-08-06-11-6",2.5,7.8,10,10
"2019-08-06-11-7",6.0,7.9,8,8
"2019-08-06-11-8",6.5,8.5,9,9
"2019-08-06-11-9",5.9,8.3,8,8
"2019-08-06-11-10",6.6,8.9,8,8
"2019-08-06-11-12",6.6,8.4,10,10
"2019-08-06-11-13",5.9,7.2,12,12
"2019-08-06-11-14",5.4,7.1,7,7
"2019-08-06-11-15",6.9,8.3,9,12
"2019-08-06-11-16",6.2,9.4,10,11
"2019-08-06-11-17",6.6,9.2,8,8
"2019-08-06-11-18",6.5,7.9,9,9
"2019-08-06-11-19",6.1,8.5,8,9
"2019-08-06-11-20",6.6,7.8,8,9
"2019-08-06-11-21",6.7,8.2,10,12
"2019-08-06-11-22",,,,
"2019-08-06-11-23",6.9,8.6,9,11
"2019-08-06-11-24",7.8,10.2,9,9
"2019-08-06-11-25",5.2,6.7,10,12
"2019-08-06-11-26",6.6,9.7,9,9
"2019-08-06-11-27",5.8,6.9,9,9
"2019-08-06-11-28",5.9,8,10,10
"2019-08-06-11-29",6.5,8.6,10,11
"2019-08-06-11-30",6.5,8.6,10,11
"2019-08-06-11-31",6.1,6.8,9,9
"2019-08-06-11-32",5.9,7.9,9,9
"2019-08-06-11-33",,,,
"2019-08-06-11-34",6.1,8.5,9,9
"2019-08-06-11-35",5.8,6.9,10,11
"2019-08-06-11-36",6.3,9.2,9,9
"2019-08-06-11-37",6.1,7.3,8,8
"2019-08-06-11-38",5.8,8.6,11,11
"2019-08-06-11-39",6.4,8.9,10,10
"2019-08-06-11-40",5.7,7.9,7,7
"2019-08-06-11-41",6.1,7.7,9,9
"2019-08-06-11-42",6.3,9.5,9,9
"2019-08-06-11-43",6.1,7.5,9,9
"2019-08-06-11-44",7,8.6,9,11
"2019-08-06-11-45",7,8.9,10,10
"2019-08-06-11-46",7,9.3,8,8
"2019-08-06-11-47",5.5,7,9,10
"2019-08-06-11-48",6.9,7.6,9,10
"2019-08-06-11-49",7.4,9.4,10,11
"2019-08-06-11-50",7.0,8.9,9,10
"2019-08-06-11-52",7.1,10.5,10,10
"2019-08-06-11-53",6.5,7.9,10,10
"2019-08-06-11-54",6.9,9.5,9,10
"2019-08-06-11-55",6.4,7.1,10,10
"2019-08-06-11-56",6.8,7.8,10,11
"2019-08-06-11-57",7.0,9.8,9,10
"2019-08-06-11-59",6.3,8.3,7,7
